code,CC_1,CC_2,name,measured,class_in,class_out,classF_in,classF_out,near_share_in,near_share_out,changed,changedF,audit_t1,audit_t12,audit_from,audit_to,audit_from_stale
AF018,MOZ,ZMB,Arangua Alluvial,FALSE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF019,MWI,ZMB,Bua River,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,TRUE,TRUE,IU1,UB,FALSE
AF020,MOZ,TZA,Coastal Sedimentary Basin III,FALSE,UB,UB,DA,DA,0.356377151721464,0.356377151721464,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF021,MOZ,TZA,Karoo Sandstone Aquifer,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF022,COD,ZMB,Kalahari/Katangian Basin,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF023,AGO,COD,Congo Intra-cratonic Basin,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF025,CAF,COD,Karoo-Carbonate,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF025,CAF,SSD,Karoo-Carbonate,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF025,COD,SSD,Karoo-Carbonate,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF026,BDI,COD,Tanganyika,TRUE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF026,BDI,TZA,Tanganyika,TRUE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF026,COD,TZA,Tanganyika,TRUE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF027,AGO,COD,Aquífero da Dolomite Pré-cambriana do baixo Congo / Aquifère dolomitique précambrien,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF027,COD,COG,Aquífero da Dolomite Pré-cambriana do baixo Congo / Aquifère dolomitique précambrien,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF029,COD,COG,Cuvette,FALSE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF031,KEN,TZA,Coastal Sedimentary Basin / Karoo Sedimetary Aquifer,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF032,KEN,TZA,Kilimanjaro Aquifer,FALSE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF033,COG,GAB,Aquifère du Bassin de l?Ogooué,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF034,COG,GAB,Aquifère des plateaux,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF036,BDI,RWA,Kagera Aquifer,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF036,RWA,TZA,Kagera Aquifer,TRUE,UB,UB,DA,DA,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF036,RWA,UGA,Kagera Aquifer,TRUE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF036,TZA,UGA,Kagera Aquifer,TRUE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF038,KEN,SOM,Merti Aquifer,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF039,KEN,UGA,Mount Elgon Aquifer,FALSE,UB,UB,BL,BL,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF040,COG,GAB,Aquifère nord-ouest Sangha,FALSE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF042,CMR,NGA,Rio del Rey,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,TRUE,TRUE,IU1,UB,FALSE
AF043,ETH,KEN,Dawa,TRUE,UB,UB,BL,BL,1,1.0000000000000009,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF043,ETH,SOM,Dawa,TRUE,UB,UB,BL,BL,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF043,KEN,SOM,Dawa,TRUE,UB,UB,BL,BL,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF044,ETH,SOM,Jubba,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF045,ETH,SOM,Shebelle / Shabelle,FALSE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF046,ETH,SDN,Sudd Basin,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF046,ETH,SSD,Sudd Basin,TRUE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF046,KEN,SSD,Sudd Basin,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF046,SDN,SSD,Sudd Basin,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF047,CIV,GHA,Bassin sédimentaire côtier / Tano Basin,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF048,BEN,NGA,"Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier",TRUE,UB,UB,DA,DA,0.06693250935863596,0.017231013995943147,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF048,BEN,TGO,"Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier",TRUE,UB,UB,DA,DA,0.36154182965045495,0.36154182965045506,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF048,GHA,TGO,"Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier",TRUE,UB,UB,DA,DA,0.36154182965045495,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF051,CMR,NGA,Benue River sedimentary basin / Bassin sédimentaire de la Benoué,FALSE,UB,UB,BL,BL,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF052,CAF,CMR,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,UB,UB,BL,DA,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
AF052,CAF,SDN,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,UB,UB,BL,UB,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
AF052,CAF,TCD,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,UB,UB,BL,BL,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF052,CMR,NGA,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,UB,UB,DA,DA,0.7280358273306317,2.501715076737295e-5,FALSE,FALSE,TRUE,TRUE,UB,DA,FALSE
AF052,CMR,TCD,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,UB,UB,DA,DA,0.7280358273306317,0.7330599027715523,FALSE,FALSE,TRUE,TRUE,UB,DA,FALSE
AF052,DZA,NER,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,UB,IU1,UB,IU1,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF052,NER,NGA,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,DA,DA,DA,DA,0.6872856290261008,0.6872856290261011,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF052,NER,TCD,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,DA,UB,DA,UB,0.6872856290261008,0,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF052,NGA,TCD,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,DA,UB,DA,DA,0.047578034481944614,0,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
AF052,SDN,TCD,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,TRUE,TRUE,UB,DA,FALSE
AF053,CAF,SDN,Baggara Basin,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF053,SDN,SSD,Baggara Basin,TRUE,UB,UB,UB,UB,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF054,BEN,BFA,Volta Basin,TRUE,UB,UB,BL,BL,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF054,BEN,NER,Volta Basin,TRUE,IU1,IU0,IU1,IU0,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF054,BEN,TGO,Volta Basin,TRUE,UB,UB,DA,DA,0.019249664732732177,0.016496341135355176,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF054,BFA,NER,Volta Basin,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF054,BFA,TGO,Volta Basin,TRUE,UB,UB,BL,BL,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF054,GHA,TGO,Volta Basin,TRUE,UB,UB,DA,DA,0.019249664732732177,0.0027533235973769914,FALSE,FALSE,TRUE,TRUE,UB,DA,FALSE
AF056,BEN,BFA,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,TRUE,UB,UB,BL,BL,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF056,BEN,NER,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,TRUE,DA,DA,DA,DA,0.6558379747034211,0.6418776896452224,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF056,BEN,NGA,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,TRUE,DA,DA,DA,DA,0.6558379747034211,0.008188370992799981,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF056,BFA,NER,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,TRUE,UB,UB,BL,UB,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
AF056,DZA,MLI,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,TRUE,IU1,IU0,IU1,IU0,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF056,DZA,NER,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,TRUE,IU1,IU0,IU1,IU0,NA,NA,TRUE,TRUE,TRUE,TRUE,IU0,IU1,FALSE
AF056,MLI,NER,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,TRUE,UB,UB,DA,DA,0.13457881434919544,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF056,NER,NGA,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,TRUE,DA,DA,DA,DA,0.13457881434919544,0.12911550042584652,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF058,ESH,MRT,Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM),TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF058,GMB,SEN,Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM),TRUE,UB,UB,DA,DA,1,0.99970072194943,FALSE,FALSE,TRUE,TRUE,UB,DA,FALSE
AF058,GNB,SEN,Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM),TRUE,DA,DA,DA,DA,0.6496323283524933,0.0010377029930947565,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF058,MRT,SEN,Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM),TRUE,BL,BL,BL,BL,0.999959925290421,0.9999599252904217,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF059,DJI,ERI,Afar Rift Valley / Afar Triangle Aquifer,TRUE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF059,DJI,ETH,Afar Rift Valley / Afar Triangle Aquifer,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,TRUE,TRUE,IU1,UB,FALSE
AF059,ERI,ETH,Afar Rift Valley / Afar Triangle Aquifer,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF061,ETH,SDN,Gedarif-Adigrat,FALSE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF062,SDN,TCD,Disa,FALSE,UB,UB,BL,BL,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF063,EGY,LBY,Nubian Sandstone Aquifer System,TRUE,UB,UB,UB,UB,0,0,FALSE,FALSE,FALSE,TRUE,UB,DA,FALSE
AF063,EGY,SDN,Nubian Sandstone Aquifer System,TRUE,UB,IU1,UB,UB,0,0,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
AF063,LBY,SDN,Nubian Sandstone Aquifer System,TRUE,UB,IU1,UB,IU1,0,0,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF063,LBY,TCD,Nubian Sandstone Aquifer System,TRUE,IU1,IU0,IU1,IU0,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF063,SDN,TCD,Nubian Sandstone Aquifer System,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF064,BFA,MLI,Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft,TRUE,DA,DA,DA,DA,0.0016007730394515865,0.0016007730394515854,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF064,DZA,MLI,Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft,TRUE,UB,IU1,UB,IU1,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF064,MLI,MRT,Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF067,DZA,LBY,Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,TRUE,TRUE,UB,DA,FALSE
AF067,DZA,NER,Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System,TRUE,IU1,IU0,IU1,IU0,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF067,LBY,NER,Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System,TRUE,IU1,IU0,IU1,IU0,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF067,LBY,TCD,Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System,TRUE,IU1,IU0,IU1,IU0,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF067,NER,TCD,Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System,TRUE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF068,DZA,ESH,Système Aquifère de Tindouf,TRUE,UB,IU1,UB,IU1,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF068,DZA,MAR,Système Aquifère de Tindouf,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF068,DZA,MRT,Système Aquifère de Tindouf,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF068,ESH,MAR,Système Aquifère de Tindouf,TRUE,UB,IU0,UB,IU0,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF068,ESH,MRT,Système Aquifère de Tindouf,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF069,DZA,LBY,North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional,TRUE,DA,IU1,DA,IU1,0.014829672234328151,0,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF069,DZA,TUN,North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional,TRUE,DA,DA,DA,DA,0.014829672234328151,0.01451201365990909,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF069,LBY,TUN,North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional,TRUE,DA,IU1,DA,IU1,0,0,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF070,DZA,MAR,Système Aquifère d'Errachidia,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF072,KEN,TZA,Rift Aquifer,FALSE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF074; AF078,DZA,MAR,Nappe de la Plaine des Angad et de Maghnia; Nappe profonde de Jbel-Hamra,FALSE,BL,BL,DA,DA,1,1,FALSE,FALSE,TRUE,TRUE,BL,DA,FALSE
AF076,DZA,MAR,Chott Tigri-Lahouita,FALSE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF077,DZA,MAR,Figuig Oasis,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,TRUE,IU1,UB,FALSE
AF079,LBY,TUN,Coastal Aquifer System of the Jeffara Plain / Système Aquifère Côtier de la Plaine de la Djeffara,FALSE,DA,DA,DA,DA,3.87634110875967e-7,3.87634110875967e-7,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF081,AGO,COD,Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF081,AGO,COG,Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF081,COG,GAB,Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier,TRUE,IU1,IU0,IU1,IU0,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF082,COG,GAB,Aquifère du Bassin de la Nyanga,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF083,BDI,RWA,Aquifère du Rift / Rift Aquifer,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF083,COD,RWA,Aquifère du Rift / Rift Aquifer,TRUE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF083,COD,UGA,Aquifère du Rift / Rift Aquifer,TRUE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF083,RWA,UGA,Aquifère du Rift / Rift Aquifer,TRUE,UB,UB,DA,DA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF090,MOZ,MWI,Colluvium and residual soils,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF094,MOZ,MWI,River alluvium,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF095,MOZ,MWI,Ruo River,FALSE,UB,UB,UB,UB,1,1,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF102,MOZ,MWI,Mwanza gritty conglomerates,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF103,MOZ,MWI,Basalt lava flow,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF104,MOZ,MWI,Mwanza grits and shales,FALSE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF105,MOZ,MWI,Upper sandstones (grits and sandstones),FALSE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF106,MOZ,MWI,Lower sandstones,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF107,MOZ,MWI,Mwanza grits and shales,FALSE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF108,MOZ,MWI,Mwanza grits and shales,FALSE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF109,MOZ,MWI,Basalt lava flow,FALSE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF121,MWI,TZA,Colluvium and residual soils,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF122,MWI,TZA,Mwanza grits and shales,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF123,MWI,TZA,River alluvium,FALSE,UB,UB,UB,UB,1,1,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF124,MOZ,MWI,Shire alluvial aquifer,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF125,ETH,KEN,Bulal Basalt,FALSE,IU0,IU0,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF126,DZA,TUN,Kasserine Aquifer System,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AS001,EGY,ISR,Western Mountain Aquifer,TRUE,DA,DA,DA,DA,0.757060189879797,0.7449327125437101,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AS001,EGY,PSE,Western Mountain Aquifer,TRUE,BL,DA,DA,DA,1,0.7581307019469811,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
AS001,ISR,PSE,Western Mountain Aquifer,TRUE,BL,BL,DA,DA,1,1.0000000000000016,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AS002,EGY,ISR,Coastal Aquifer Basin,TRUE,DA,DA,DA,DA,0.6770703054834395,0.5471789474819654,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AS002,EGY,PSE,Coastal Aquifer Basin,TRUE,BL,DA,BL,DA,1,0.7080977486870516,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AS002,ISR,PSE,Coastal Aquifer Basin,TRUE,BL,BL,BL,BL,1,1.0000000000000004,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
